Feature,Importance
GWETROOT_lag1,0.40523312295997643
GWETROOT_roll3,0.19166854546508388
T2M_roll6,0.1086370412968458
T2M_lag2,0.09520190812365868
ALLSKY_SFC_SW_DWN_lag3,0.06340363044212967
PRECTOTCORR_roll6,0.038788238802496926
PRECTOTCORR_lag3,0.016575316747134913
GWETROOT,0.013375560395839986
WS2M_lag1,0.010316759669917231
PRECTOTCORR_lag1,0.008429481470275661
PRECTOTCORR_lag2,0.007236689955806112
WS2M_lag6,0.0038005985847807127
PRECTOTCORR_roll3,0.0037732423524434143
T2M_lag3,0.0036820008172960233
PRECTOTCORR,0.0035108230791044536
precip_temp_interaction,0.0032974490581590367
WS2M_lag3,0.0031507248209219287
WS2M_roll6,0.003075159853829183
WS2M_roll3,0.0022262747104302145
Month_sin,0.001960679772042928
WS2M,0.0017867509393015252
T2M_lag6,0.0011485027395730296
GWETROOT_lag2,0.0010676363550681657
T2M_lag1,0.0008957223475336151
ALLSKY_SFC_SW_DWN_roll6,0.0007965070406427172
GWETROOT_roll6,0.0007871735988294986
ALLSKY_SFC_SW_DWN,0.0007189387359451213
ALLSKY_SFC_SW_DWN_lag1,0.0007080496987559278
WS2M_lag2,0.0006620449684579316
Year_normalized,0.0005453180187783155
Location_encoded,0.0005370512566385331
ALLSKY_SFC_SW_DWN_roll3,0.0005178249748454056
T2M_roll3,0.000502181178338841
ALLSKY_SFC_SW_DWN_lag2,0.0004577403048659592
GWETROOT_lag6,0.00044050301387601456
PRECTOTCORR_lag6,0.00035206816570983196
T2M,0.000320248023674302
GWETROOT_lag3,0.00023881834404482436
ALLSKY_SFC_SW_DWN_lag6,0.00015691305919555984
Month_cos,1.6758857751707875e-05
